username,bio,location,target_population,locals_vs_diaspora,person_vs_organization,comments
Roy_Iddan,"tv writer uke player + high functioning sociopath. tweets my own rt not endorsement. heb/eng/ara. proud genx.
מסתכל על ישראל הראשונה מלמעלה",israel,1,1,1,
RayneNGrace,"imperfect loved by a perfect god! 
married to a wonderful man.
freedom 2a no jabs!
god is in control trust in him.
pro-life. protect children always
no dms.",blessed  usa,0,0,1,
shirellaloom,כתבת יו''ש | עכשיו 14 | אמא לשני קטנים מתוקים | תואר ראשון | מתנחלת משיחית - אבל עדיין לא טעיתי בענק כמו אנשי ההיגיון | 0542651526,ישראל,1,1,1,
raananshaked,כעס. למרות כל מה שג'וי אומרת כדי לנסות להרגיע אותי,,1,1,1,
IsraelMOH,הטוויטר הרשמי של משרד הבריאות | הצטרפו לערוץ הווטסאפ שלנו:,israel,1,1,0,
HiggsBozoEffect,,texas usa,0,0,1,
Haredim_Ashdod,"'חרדים אשדוד' אתר החדשות החרדי הגדול באשדוד
כל מה שחדש במגזר החרדי באשדוד - עדכונים | חדשות | אקטואליה | פוליטיקה | דעה",,1,1,0,
itayr2,עיתונאי ״המקור״ - רשת 13,,1,1,1,
BtSIsrael,breaking the silence is an israeli veterans' organization aimed at raising awareness to the dire consequences of prolonged military occupation.,israel,1,1,0,
rakovdan,sen. fellow,israel,1,1,1,
Liorsl,"אדם מאוד מטופש. באמת. 

לא מתמודד טוב עם פידבק חיובי",haifa israel,1,1,1,
FeaturedRegards,jewish israeli born and raised proud zionist. right wing and conservative. if you don’t follow me i don’t see your dm.,,2,2,1,
AlonaSherf,photographer activist vegan.,israel,1,1,1,
HenMazzig,author: the wrong kind of jew. senior fellow at,tel aviv + london,1,1,1,
natalie_Zion_,"activist against antisemitism 

jewish enough to be put in a camp not enough to be saved-ethnic

ba hons business management & aat lv2 -job hunting",england united kingdom,0,0,1,
yoav_gro,פסיכולוג קליני ואזרח מודאג לאו דווקא בסדר הזה. ציוציי מייצגים את הלא מודע שלי בלבד.,,1,1,1,
shashashayli,"ליכודניק במקור ולכן תומך ופעיל ביש עתיד כמובן.
אוהד ביתר. דובר הפועלית",ראשון לציון,1,1,1,
moss_tweets_,"lifetime learner nonbeliever what-aboutist socialist finkelsteinist.
like & follow =/= endorsement",,2,2,1,
hanan_green,כתב התיישבות (שטחים) ודתות ישראל היום,אפרת,1,1,1,
marmeladda,לצלםלרקודלטייללקרוא ולכתוב. בלוגמרמלדה על החייםאמהותטיולים ובעיקר המלצת ספרים וגם ספר ילדים פרי עטי ומצלמתי. שמחה לתגובות,israel jerusalem,1,1,1,
SteinmanTamir,כתב חדשות 2 בדרום,ישראל,1,1,1,
ElizabethRimini,בלוגים blogs,,1,1,1,
frederic_scheer,cancer fighter and survivor! promoting cancer diagnostics testing. helping children in africa & fighting against women abuse in africa. promoting peace!!!,bozeman mt,0,0,1,
