username,bio,location,target_population,locals_vs_diaspora,person_vs_organization,comments
Roy_Iddan,"tv writer uke player + high functioning sociopath. tweets my own rt not endorsement. heb/eng/ara. proud genx.
מסתכל על ישראל הראשונה מלמעלה",israel,1,1,1,רועי מישראל
RayneNGrace,"imperfect loved by a perfect god! 
married to a wonderful man.
freedom 2a no jabs!
god is in control trust in him.
pro-life. protect children always
no dms.",blessed  usa,0,0,1,לא ישראלי
shirellaloom,כתבת יו''ש | עכשיו 14 | אמא לשני קטנים מתוקים | תואר ראשון | מתנחלת משיחית - אבל עדיין לא טעיתי בענק כמו אנשי ההיגיון | 0542651526,ישראל,1,1,1,כתבת בערוץ 14
raananshaked,כעס. למרות כל מה שג'וי אומרת כדי לנסות להרגיע אותי,,1,1,1,רענן מישראל
IsraelMOH,הטוויטר הרשמי של משרד הבריאות | הצטרפו לערוץ הווטסאפ שלנו:,israel,1,1,0,עמוד של משרד הבריאות הישראלי
HiggsBozoEffect,,texas usa,1,0,1,אדם פרטי גר בטקסס המון פרסומים בעברית ותגובות של ישראלים
Haredim_Ashdod,"'חרדים אשדוד' אתר החדשות החרדי הגדול באשדוד
כל מה שחדש במגזר החרדי באשדוד - עדכונים | חדשות | אקטואליה | פוליטיקה | דעה",,1,1,0,אתר של חדשות
itayr2,עיתונאי ״המקור״ - רשת 13,,1,1,1,עיתונאי בארץ
BtSIsrael,breaking the silence is an israeli veterans' organization aimed at raising awareness to the dire consequences of prolonged military occupation.,israel,1,1,0,ארגון בארץ
rakovdan,sen. fellow,israel,2,2,1,לא ברור האם ישראלי או אוקראיני
Liorsl,"אדם מאוד מטופש. באמת. 

לא מתמודד טוב עם פידבק חיובי",haifa israel,1,1,1,ליאור מישראל
FeaturedRegards,jewish israeli born and raised proud zionist. right wing and conservative. if you don’t follow me i don’t see your dm.,,1,1,1,שרית מישראל
AlonaSherf,photographer activist vegan.,israel,1,1,1,מהארץ
HenMazzig,author: the wrong kind of jew. senior fellow at,tel aviv + london,2,2,1,לא ברור האם מתל אביב או מלונדון
natalie_Zion_,"activist against antisemitism 

jewish enough to be put in a camp not enough to be saved-ethnic

ba hons business management & aat lv2 -job hunting",england united kingdom,0,0,1,מאנגליה
yoav_gro,פסיכולוג קליני ואזרח מודאג לאו דווקא בסדר הזה. ציוציי מייצגים את הלא מודע שלי בלבד.,,1,1,1,יואב מישראל
shashashayli,"ליכודניק במקור ולכן תומך ופעיל ביש עתיד כמובן.
אוהד ביתר. דובר הפועלית",ראשון לציון,1,1,1,שי לי מישראל
moss_tweets_,"lifetime learner nonbeliever what-aboutist socialist finkelsteinist.
like & follow =/= endorsement",,0,0,1,"מאוסטרליה, לפי הביו אדם פרטי(כתוב שלומד)"
hanan_green,כתב התיישבות (שטחים) ודתות ישראל היום,אפרת,1,1,1,ראש מערך דוברות והסברה בארץ
marmeladda,לצלםלרקודלטייללקרוא ולכתוב. בלוגמרמלדה על החייםאמהותטיולים ובעיקר המלצת ספרים וגם ספר ילדים פרי עטי ומצלמתי. שמחה לתגובות,israel jerusalem,1,1,1,אישה פרטית בעלת עסק לבדוק אחרי זה לגבי 3
SteinmanTamir,כתב חדשות 2 בדרום,ישראל,1,1,1,כתב חדשות בדרום
ElizabethRimini,בלוגים blogs,,1,1,1,"מפרסמת על פוליטיקה ישראלית ,הרבה פוסטים בעברית."
frederic_scheer,cancer fighter and survivor! promoting cancer diagnostics testing. helping children in africa & fighting against women abuse in africa. promoting peace!!!,bozeman mt,0,0,1,"אדם פרטי,כתוב שלא בישראל"
warnerthuston,freelance writer breitbart news western journal and many many more. many time tv and radio guest. email: igcolonel@hotmail.com,chicago ill.,0,0,1,אדם פרטי משיקגו
The_Adams1,they told me to use the brain god gave me. i did now am atheist מועתק  אבל חמוד...,israel,1,1,1,"אדם פרטי, ישראלי, גר בישראל"
Israellycool,proud jew. ozraeli. executive director israellycool israel advocacy. middle east analyst. antisemites beware.,israel,1,1,1,אדם פרטי נתון מיקום ישראל
jk006d,love fauda and israel baseball. unofficial president of ritchie torres & haviv rettig gur fan clubs. release the hostages now! עם ישראל חי,secret hq,1,2,1,אדם פרטי שם משתמש בעברית אך כתוב או אמריקה או ישראל אז לא ידוע איפה גר
zalmanovitz,בזמני הפנוי יהודי פשוט,jerusalem israel,1,1,1,"יועץ תקשורת, ישראלי"
orasetter,14th generation in israel. ph.d. in management studies. past ceo and academic director of the executive   education center in tau  head of  od association.,,1,1,1,"ישראלית, אדם פרטי"
Dudibnhmo,עיתונאי ומגיש 'כיכר השבת'. לשעבר כתב ומגיש בערוץ 7. ועורך ומגיש בחדשות הסקופים.,ירושלים,1,1,1,עיתונאי
