username,bio,location,target_population,consensus_source
Roy_Iddan,"tv writer uke player + high functioning sociopath. tweets my own rt not endorsement. heb/eng/ara. proud genx.
מסתכל על ישראל הראשונה מלמעלה",israel,1,auto_agree
RayneNGrace,"imperfect loved by a perfect god! 
married to a wonderful man.
freedom 2a no jabs!
god is in control trust in him.
pro-life. protect children always
no dms.",blessed  usa,0,auto_agree
shirellaloom,כתבת יו''ש | עכשיו 14 | אמא לשני קטנים מתוקים | תואר ראשון | מתנחלת משיחית - אבל עדיין לא טעיתי בענק כמו אנשי ההיגיון | 0542651526,ישראל,1,auto_agree
raananshaked,כעס. למרות כל מה שג'וי אומרת כדי לנסות להרגיע אותי,,1,auto_agree
IsraelMOH,הטוויטר הרשמי של משרד הבריאות | הצטרפו לערוץ הווטסאפ שלנו:,israel,1,auto_agree
HiggsBozoEffect,,texas usa,1,manual_discussion
Haredim_Ashdod,"'חרדים אשדוד' אתר החדשות החרדי הגדול באשדוד
כל מה שחדש במגזר החרדי באשדוד - עדכונים | חדשות | אקטואליה | פוליטיקה | דעה",,1,auto_agree
itayr2,עיתונאי ״המקור״ - רשת 13,,1,auto_agree
BtSIsrael,breaking the silence is an israeli veterans' organization aimed at raising awareness to the dire consequences of prolonged military occupation.,israel,1,auto_agree
rakovdan,sen. fellow,israel,2,manual_discussion
Liorsl,"אדם מאוד מטופש. באמת. 

לא מתמודד טוב עם פידבק חיובי",haifa israel,1,auto_agree
FeaturedRegards,jewish israeli born and raised proud zionist. right wing and conservative. if you don’t follow me i don’t see your dm.,,2,manual_discussion
AlonaSherf,photographer activist vegan.,israel,1,auto_agree
HenMazzig,author: the wrong kind of jew. senior fellow at,tel aviv + london,2,manual_discussion
natalie_Zion_,"activist against antisemitism 

jewish enough to be put in a camp not enough to be saved-ethnic

ba hons business management & aat lv2 -job hunting",england united kingdom,0,auto_agree
yoav_gro,פסיכולוג קליני ואזרח מודאג לאו דווקא בסדר הזה. ציוציי מייצגים את הלא מודע שלי בלבד.,,1,auto_agree
shashashayli,"ליכודניק במקור ולכן תומך ופעיל ביש עתיד כמובן.
אוהד ביתר. דובר הפועלית",ראשון לציון,1,auto_agree
moss_tweets_,"lifetime learner nonbeliever what-aboutist socialist finkelsteinist.
like & follow =/= endorsement",,0,manual_discussion
hanan_green,כתב התיישבות (שטחים) ודתות ישראל היום,אפרת,1,auto_agree
