iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC
1,target_population,3,15,79,6,6,K-Fold,5.0,LogReg,TFIDF_profile_text,500,False,0.79,0.2633,0.3333,0.2942,0.8042
1,target_population,3,15,79,6,6,LOOCV,,LogReg,TFIDF_profile_text,500,False,0.79,0.2633,0.3333,0.2942,0.7133
1,target_population,3,15,79,6,6,K-Fold,5.0,Decision Tree,TFIDF_profile_text,500,False,0.78,0.3507,0.3471,0.3284,0.5849
1,target_population,3,15,79,6,6,LOOCV,,Decision Tree,TFIDF_profile_text,500,False,0.77,0.3799,0.3609,0.3542,0.6269
1,target_population,3,15,79,6,6,K-Fold,5.0,Random Forest,TFIDF_profile_text,500,False,0.79,0.2633,0.3333,0.2942,0.7291
1,target_population,3,15,79,6,6,LOOCV,,Random Forest,TFIDF_profile_text,500,False,0.79,0.2633,0.3333,0.2942,0.7079
1,target_population,3,15,79,6,6,K-Fold,5.0,SVM,TFIDF_profile_text,500,False,0.81,0.602,0.3778,0.376,
1,target_population,3,15,79,6,6,LOOCV,,SVM,TFIDF_profile_text,500,False,0.81,0.5208,0.3958,0.4024,
1,target_population,3,15,79,6,6,K-Fold,5.0,AdaBoost,TFIDF_profile_text,500,False,0.79,0.432,0.3513,0.333,0.5772
1,target_population,3,15,79,6,6,LOOCV,,AdaBoost,TFIDF_profile_text,500,False,0.78,0.3757,0.3471,0.3287,0.6526
1,target_population,3,15,79,6,6,K-Fold,5.0,XGBoost,TFIDF_profile_text,500,False,0.78,0.4,0.3651,0.3579,0.5695
1,target_population,3,15,79,6,6,LOOCV,,XGBoost,TFIDF_profile_text,500,False,0.75,0.3756,0.3525,0.3481,0.5433
1,target_population,3,15,79,6,6,K-Fold,5.0,LogReg,TFIDF_profile_text,500,True,0.79,0.4414,0.4053,0.4101,0.7867
1,target_population,3,15,79,6,6,LOOCV,,LogReg,TFIDF_profile_text,500,True,0.79,0.4318,0.4233,0.4236,0.745
1,target_population,3,15,79,6,6,K-Fold,5.0,Decision Tree,TFIDF_profile_text,500,True,0.64,0.4923,0.5294,0.4325,0.6838
