username,bio,location,target_population,locals_vs_diaspora,person_vs_organization,comments
Roy_Iddan,"tv writer uke player + high functioning sociopath. tweets my own rt not endorsement. heb/eng/ara. proud genx.
מסתכל על ישראל הראשונה מלמעלה",israel,,,,
RayneNGrace,"imperfect loved by a perfect god! 
married to a wonderful man.
freedom 2a no jabs!
god is in control trust in him.
pro-life. protect children always
no dms.",blessed  usa,,,,
shirellaloom,כתבת יו''ש | עכשיו 14 | אמא לשני קטנים מתוקים | תואר ראשון | מתנחלת משיחית - אבל עדיין לא טעיתי בענק כמו אנשי ההיגיון | 0542651526,ישראל,,,,
raananshaked,כעס. למרות כל מה שג'וי אומרת כדי לנסות להרגיע אותי,,,,,
IsraelMOH,הטוויטר הרשמי של משרד הבריאות | הצטרפו לערוץ הווטסאפ שלנו:,israel,,,,
HiggsBozoEffect,,texas usa,,,,
Haredim_Ashdod,"'חרדים אשדוד' אתר החדשות החרדי הגדול באשדוד
כל מה שחדש במגזר החרדי באשדוד - עדכונים | חדשות | אקטואליה | פוליטיקה | דעה",,,,,
itayr2,עיתונאי ״המקור״ - רשת 13,,,,,
BtSIsrael,breaking the silence is an israeli veterans' organization aimed at raising awareness to the dire consequences of prolonged military occupation.,israel,,,,
rakovdan,sen. fellow,israel,,,,
Liorsl,"אדם מאוד מטופש. באמת. 

לא מתמודד טוב עם פידבק חיובי",haifa israel,,,,
FeaturedRegards,jewish israeli born and raised proud zionist. right wing and conservative. if you don’t follow me i don’t see your dm.,,,,,
AlonaSherf,photographer activist vegan.,israel,,,,
HenMazzig,author: the wrong kind of jew. senior fellow at,tel aviv + london,,,,
natalie_Zion_,"activist against antisemitism 

jewish enough to be put in a camp not enough to be saved-ethnic

ba hons business management & aat lv2 -job hunting",england united kingdom,,,,
yoav_gro,פסיכולוג קליני ואזרח מודאג לאו דווקא בסדר הזה. ציוציי מייצגים את הלא מודע שלי בלבד.,,,,,
shashashayli,"ליכודניק במקור ולכן תומך ופעיל ביש עתיד כמובן.
אוהד ביתר. דובר הפועלית",ראשון לציון,,,,
moss_tweets_,"lifetime learner nonbeliever what-aboutist socialist finkelsteinist.
like & follow =/= endorsement",,,,,
hanan_green,כתב התיישבות (שטחים) ודתות ישראל היום,אפרת,,,,
marmeladda,לצלםלרקודלטייללקרוא ולכתוב. בלוגמרמלדה על החייםאמהותטיולים ובעיקר המלצת ספרים וגם ספר ילדים פרי עטי ומצלמתי. שמחה לתגובות,israel jerusalem,,,,
SteinmanTamir,כתב חדשות 2 בדרום,ישראל,,,,
ElizabethRimini,בלוגים blogs,,,,,
frederic_scheer,cancer fighter and survivor! promoting cancer diagnostics testing. helping children in africa & fighting against women abuse in africa. promoting peace!!!,bozeman mt,,,,
warnerthuston,freelance writer breitbart news western journal and many many more. many time tv and radio guest. email: igcolonel@hotmail.com,chicago ill.,,,,
The_Adams1,they told me to use the brain god gave me. i did now am atheist מועתק  אבל חמוד...,israel,,,,
Israellycool,proud jew. ozraeli. executive director israellycool israel advocacy. middle east analyst. antisemites beware.,israel,,,,
jk006d,love fauda and israel baseball. unofficial president of ritchie torres & haviv rettig gur fan clubs. release the hostages now! עם ישראל חי,secret hq,,,,
zalmanovitz,בזמני הפנוי יהודי פשוט,jerusalem israel,,,,
orasetter,14th generation in israel. ph.d. in management studies. past ceo and academic director of the executive   education center in tau  head of  od association.,,,,,
