iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC
4,target_population,3,99,283,18,18,K-Fold,5,LogReg,TFIDF_profile_text,500,False,0.77,0.488,0.4503,0.4551,0.7487
4,target_population,3,99,283,18,18,LOOCV,,LogReg,TFIDF_profile_text,500,False,0.7725,0.4905,0.4493,0.4542,0.7228
4,target_population,3,99,283,18,18,K-Fold,5,Decision Tree,TFIDF_profile_text,500,False,0.7075,0.422,0.4187,0.4183,0.5876
4,target_population,3,99,283,18,18,LOOCV,,Decision Tree,TFIDF_profile_text,500,False,0.7375,0.455,0.4504,0.4515,0.601
4,target_population,3,99,283,18,18,K-Fold,5,Random Forest,TFIDF_profile_text,500,False,0.7625,0.4739,0.4402,0.443,0.7375
4,target_population,3,99,283,18,18,LOOCV,,Random Forest,TFIDF_profile_text,500,False,0.7725,0.4826,0.4581,0.4611,0.7009
4,target_population,3,99,283,18,18,K-Fold,5,SVM,TFIDF_profile_text,500,False,0.7675,0.4821,0.4711,0.4733,
4,target_population,3,99,283,18,18,LOOCV,,SVM,TFIDF_profile_text,500,False,0.7725,0.4881,0.48,0.4816,
4,target_population,3,99,283,18,18,K-Fold,5,AdaBoost,TFIDF_profile_text,500,False,0.72,0.4205,0.3983,0.3946,0.5983
4,target_population,3,99,283,18,18,LOOCV,,AdaBoost,TFIDF_profile_text,500,False,0.72,0.4264,0.3961,0.3931,0.5789
4,target_population,3,99,283,18,18,K-Fold,5,XGBoost,TFIDF_profile_text,500,False,0.755,0.4762,0.452,0.4583,0.7194
4,target_population,3,99,283,18,18,LOOCV,,XGBoost,TFIDF_profile_text,500,False,0.7875,0.5029,0.4849,0.4893,0.6915
4,target_population,3,99,283,18,18,K-Fold,5,LogReg,TFIDF_profile_text,500,True,0.7075,0.4762,0.4734,0.4731,0.7099
4,target_population,3,99,283,18,18,LOOCV,,LogReg,TFIDF_profile_text,500,True,0.71,0.4792,0.4768,0.4759,0.6967
4,target_population,3,99,283,18,18,K-Fold,5,Decision Tree,TFIDF_profile_text,500,True,0.5775,0.4622,0.4206,0.4278,0.6226
