username,bio,location,target_population,locals_vs_diaspora,person_vs_organization,comments,source_consensus
ramat123,"former chairperson @ b'tselem.
anti apartheid and anti occupation activist. 
opinions here are my own.",israel,1,1,1,ישראלי גר בישראל,auto_agree
andresfidanza,periodista. jefe de redacción de el observador usa (,miami florida ee.uu.,0,0,1,עיתונאי לא מהארץ,auto_agree
halabi_rafik,the mayor of daliat el carmel,daliat el carmel,1,1,1,ראש עיריית דליאת אך כרמל,auto_agree
nayibbukele,philosopher king,el salvador,0,0,1,נשיא אך סלוודור,auto_agree
Gonzalez_Erwin,contador público leal hasta la muerteconfío en el cambio. no hay poder humano eterno. un día a la vez!! cripto mundo! follow me and i follow you!!,,0,0,1,מונצואלה,auto_agree
UK_MTO,official x account for united kingdom maritime trade operations (ukmto).,,0,0,0,עמוד ראשי של UKMTO,auto_agree
US_EUCOM,the official x account of u.s. european command.,stuttgart germany,0,0,0,הפיקוד האירופי של ארצות הברית,auto_agree
AuschwitzMuseum,former german nazi concentration & extermination camp auschwitz. official account. we commemorate victims educate about history & preserve the authentic site.,oświęcim polska,0,0,0,"עמוד הנמחה לקורבנות של מחנה אושוויץ בשואה, הארגון לא בארץ",auto_agree
ASCRM41,"american society of criminology (official x account)

80th annual meeting - washington d.c. - november 12-15 2025",columbus oh,0,0,0,אגודה אמריקאית לקרימינולוגיה,auto_agree
TSA,official x account of the transportation security administration. read our social media policy at,washington dc,0,0,0,רשת אבטחת התעבורה של ארצות הברית,auto_agree
OBEYGIANT,official account of artist/activist shepard fairey. obey discord:,los angeles,0,0,1,אומן לא מהארץ,auto_agree
SonicScrw,"של נעליך מעל רגליך כי הרגע העברתי סמרטוט קיבינימט.
it rubs the lotion on its skin/it gets the hose again",,1,1,1,ישראלית גרה בארץ,auto_agree
usembassyjlm,this is the official account of u.s. embassy jerusalem.,israel,0,0,0,שגרירות ארצות הברית בירושלים,auto_agree
JollyHollywood1,we are all works in progress accept it and move on…,orange county ca,0,0,1,אמריקאי,auto_agree
spikedonline,the magazine that wants to change the world as well as report on it. for humanism democracy and freedom. donate:,,0,0,0,מגזין דמוקרטיה בעולם,auto_agree
yael_pl,"dear reader
you don't have to answer just 'cause they asked you",jerusalem,1,1,1,ישראלית גרה בישראל,auto_agree
Sharon_Luzon,".

who you trying to get crazy with ése?
don't you know i'm loco?

.
.
أَبو الْعَالَمَين
.
مُخَضرَم
.",tel aviv,1,1,1,ישראלי גר בארץ,auto_agree
jasonsfolly,professional faker. amateur human. failed deatheater. tightly-clad space pilot. commie. angel hunter. don't even.,lost,0,0,1,לא מהארץ,auto_agree
Esp_licit,". ultrazen pov.
- your delusions don't constitute my moral obligations -",europe,0,0,1,לא מהארץ,auto_agree
TMZ,breaking pop culture entertainment news as it happens.,los angeles ca,0,0,0,עמוד של חדשות בידור לא בארץ,auto_agree
aion2x,"the greek word for apocalypse is apokálypsis which means ""revelation"" or ""uncovering"". it comes from the words apokalýp(tein) which means ""to uncover reveal""",deep underground military base,0,0,1,לא מהארץ,auto_agree
leigh_or75670,the best way to predict the future is to create it,,1,1,1,ישראלית גרה בארץ,auto_agree
