username,bio,location,target_population,locals_vs_diaspora,person_vs_organization,comments,source_consensus
ALLMEP,the alliance for middle east peace is a network of over 160 ngos conducting peacebuilding between israelis and palestinians. rt≠endorsement,washington dc,0,0,0,חברה לארגון שלופ נמצאת בארצות הברית,auto_agree
rachsieg,covering the federal reserve and economy for,washington dc,0,0,1,מסקרת את כלכלת ארצות הברית לשעבר,auto_agree
RaabTalia,proud & unapologetically jewish. educator activist and content creator. speaking up for israel and the jewish people.,israel,1,1,1,תהילה מישראל,auto_agree
MOhadIsrael,"محلل وصحفي مستقل بالجيروزاليم بوست.
خبروني عالخاص.

freelance analyst & writer for",jerusalem israel,1,1,1,,auto_agree
onejewishstate,a think tank advancing the case for israeli sovereignty over judea & samaria. founded by,israel,1,1,1,,auto_agree
NoaShpigel,correspondent for,israel,1,1,1,נועה משיראל,auto_agree
omdimbeyachad,תנועה יהודית-ערבית לשלום שוויון וצדק חברתי حراك يهودى-عربي للسلام، مساواة وعدالة اجتماعية jewish-arab movement for peace equality & social justice in israel,,1,1,1,,auto_agree
mikispitzer,"landscape photographer.
 writer for",israel,1,1,1,צלם ישראלי שגר בישראל,auto_agree
IsraelTrthPrjkt,championing truth | defending israel | countering misinformation | advocates for peace justice & clarity in the narrative | facts over fiction |,,1,1,0,חברה לקידום האמת,auto_agree
haimetgarr,journalist ch 12 israel tv host     columnist for maariv,,1,1,1,חיים אתגר,auto_agree
AIPAC,strengthening bipartisan support for the u.s.-israel relationship.,,0,0,0,חברה פרו ישראלית באמריקה,auto_agree
Koral_hazan10,professional footballer for hapoel tel aviv & israel national team,,1,1,1,ישראלית,auto_agree
LionsOfZion_ORG,supporting israel and jewish communities worldwide. promoting peace combating falsehoods and spreading the truth. join us in uniting voices for israel.,,1,1,1,ישראלי שגר בישראל,auto_agree
vanola1,social media is the platform for sharing individual's knowledge,israel,1,1,1,ישראלי שגר בישראל,auto_agree
MavIsrael,a non-profit organization of israeli women activists dedicated to ending the occupation. we advocate for peace non-violence and a democratic israel.,israel,1,1,0,חברה ישראלית,auto_agree
AlfiGuri,basson player for events and bar mitzvahs,israel-la-ramat gan-respect,1,1,1,גורי אלפי,auto_agree
JISS_Israel,the jerusalem institute for strategy and security (jiss) is a think tank that offers security expertise for a strong israel and united jerusalem.,jerusalem israel,1,1,0,המכון הירושלמי לענייני אסטרטגיה וביטחון,auto_agree
KnessetENG,updates from israel’s parliament. for informative purposes only not as a substitute for official statements by the knesset or its units. rt /= endorsements,jerusalem israel,1,1,0,הכנסת,auto_agree
AdamHoffm,researcher at the center for political research,jerusalem israel,1,1,1,ישראלי שגר בישראל,auto_agree
acri_online,"association for civil rights in israel (acri)

stay up-to-tweet with israel's oldest and largest human rights ngo.",israel,1,1,0,האגודה לזכויות האזרח בישראל,auto_agree
libby_alon,us correspondent for,israel,1,1,1,כתבת ישראלית,auto_agree
Hadash_org,"חד''ש - החזית הדמוקרטית לשלום ושוויון 
hadash - democratic front for peace and equality",israel,1,1,0,חברה למען דמוקרטיה בארץ,auto_agree
omerdos,phd | spokesperson for the israeli prime minister,israel,1,1,1,ישראלי שגר בישראל,auto_agree
RegavimEng,regavim is a social movement established to promote a zionist agenda for the state of israel and to protect its resources,israel,1,1,0,תנועה חברתית בישראל,auto_agree
YaronDeckel,regional director for canada the jewish agency,israel,1,1,1,ישראלי שגר בישראל,auto_agree
EuropeanPan,unapologetically pro-european. promoting the defence of our civilization and advancing a new spirit of european pride!,europe,0,0,0,ארגון אירופי,auto_agree
RapaportShani,diplomat head of,new delhi india,1,0,1,ישראלית שגרה בהודו(דיפלומטית),auto_agree
Chaimico,investing in a new generation of start-ups that are plugging online technologies into physical processes and experiences.,tel aviv,1,1,1,ישראלי שגר בישראל,auto_agree
Czar_9_0,zionist ultranationalist,kingdom of new jerusalem,1,1,1,ישראלי שגר בישראל,auto_agree
aviadsanders,"יהודי- jew. 
רמ במדרשת לינדנבאום. 
נשוי +4
עשיתי לי סימן על המצח שאני משוגע (רב נחמן שם). מחלק טבק בבית כנסת.",,1,1,1,ישראלי שגר בישראל,auto_agree
yosgalin02,a jew from jerusalem,jerusalem,1,1,1,ישראלי שגר בישראל,auto_agree
EitanChitayat,jew,tel aviv,1,1,1,ישראלי שגר בישראל,auto_agree
dip3206,observant jew. proud supporter of israel. father of 6.,,0,0,1,אמריקאי,auto_agree
skjask,woman with many causes writer jew israeli fighter of extremism. born in exile. cofounder,israel,1,1,1,ישראלית שגרה בישראל,auto_agree
soren_iverson,new ideas daily. building,los angeles ca,0,0,1,אמריקאי,auto_agree
zoharu,owner of zohar urian marketing in love with dodo,israel,1,1,1,ישראלי שגר בישראל,auto_agree
ailai1234462,dont love what you see love what yoy feel,israel!!!,1,1,1,ישראלית שגרה בישראל,auto_agree
zabesrm,spirited free thinking gal who isn’t offended by anything. patriot! love trump tucker & musk!! unapologetically love my country!!,scottsdale az,0,0,1,אמריקאית,auto_agree
Adrian081983276,climate optimistski helmet hater higher educated amsterdam beach ibiza and stubaier glacier lover just love life,amsterdam nederland,0,0,1,ספרדי,auto_agree
KaiSaikota,biggest simp in,i love my kamisitos,0,0,1,מאמריקה,auto_agree
Eretz_Nehederet,eretz nehederet (a wonderful country) is israel’s no.1 satire show.   למערכונים של ארץ נהדרת לחצו,,1,1,0,ערוץ טלוויזיה בישראל,auto_agree
OriKatz3,"no solutions only trade-offs.
the mechanical god:",israel,1,1,1,ישראלי שגר בישראל,auto_agree
IsraMum,"peace activist (but no useful idiot).
lawyer. angry. true",israel,1,1,1,ישראלי שגר בישראל,auto_agree
naomilster,is this it?,tel aviv,1,1,1,ישראלית שגרה בישראל,auto_agree
1liort,"""fugayzi fugazi. it's a wazi it's a woozi. it's fairy dust.""",world wide,1,1,1,ישראלי שגר בישראל,auto_agree
whyeden,it's a metaphor daddy,מנחה הפודקאסט כמעט מפורסמים,1,1,1,ישראלי שגר בישראל,auto_agree
msnrsh,peripheral exploration eternally externally internal i get it,jefferson ga,0,0,1,,auto_agree
AharoniNurit,it so good to be bad,,1,1,1,ישראלית שגרה בישראל,auto_agree
Daniella_Se19,hey it's me,ramat gan,1,1,1,ישראלית שגרה בישראל,auto_agree
awawawhoami,kitten (it/its) investigative journalist hacktivist columnist,st gallen switzerland,0,0,1,,auto_agree
Channel4,"channel 4 altogether different since 1982. 
difference starts conversations it makes us laugh makes us feel. it triggers change.",united kingdom,0,0,0,ערוץ לא ישראלי,auto_agree
